Entry Date,Exit Date,Return,Duration (days),Win
2020-05-28 00:00:00+00:00,2020-06-11 00:00:00+00:00,-0.030454318522921908,10,False
2020-06-22 00:00:00+00:00,2020-07-08 00:00:00+00:00,-0.07271949545034095,11,False
2020-08-28 00:00:00+00:00,2020-09-03 00:00:00+00:00,-0.022905027934457367,4,False
2021-04-06 00:00:00+00:00,2021-04-22 00:00:00+00:00,-0.04072490327874412,12,False
2021-05-24 00:00:00+00:00,2021-06-21 00:00:00+00:00,0.04678472009179946,19,True
2021-06-24 00:00:00+00:00,2021-07-15 00:00:00+00:00,-0.08208134847925974,14,False
2021-10-15 00:00:00+00:00,2021-11-22 00:00:00+00:00,-0.02471516213813929,26,False
2022-08-18 00:00:00+00:00,2022-09-30 00:00:00+00:00,-0.05936706403143632,30,False
2022-10-24 00:00:00+00:00,2022-11-22 00:00:00+00:00,0.0723570689062143,21,True
2022-11-23 00:00:00+00:00,2022-12-06 00:00:00+00:00,-0.08474576271182421,8,False
2022-12-07 00:00:00+00:00,2022-12-08 00:00:00+00:00,-0.006797937177312141,1,False
2022-12-14 00:00:00+00:00,2022-12-19 00:00:00+00:00,-0.024408628267152066,3,False
2023-01-24 00:00:00+00:00,2023-02-24 00:00:00+00:00,-0.06556291390655233,22,False
2023-04-19 00:00:00+00:00,2023-05-15 00:00:00+00:00,-0.08805176796844383,18,False
2023-07-03 00:00:00+00:00,2023-10-02 00:00:00+00:00,0.09939467722954087,63,True
2024-01-08 00:00:00+00:00,2024-01-23 00:00:00+00:00,-0.047709022201338214,10,False
2024-02-15 00:00:00+00:00,2024-04-12 00:00:00+00:00,0.16331472408452719,39,True
2024-05-20 00:00:00+00:00,2024-05-21 00:00:00+00:00,-0.01137320977248224,1,False
2024-10-18 00:00:00+00:00,2024-11-06 00:00:00+00:00,0.03221535745789583,13,True
2024-11-08 00:00:00+00:00,2024-12-19 00:00:00+00:00,-0.10533662622191875,28,False
