Date,Open,High,Low,Adj Close,Volume,Close
2015-01-02 00:00:00+00:00,51.7079961581,52.4008951286,51.4781244618,52.2334171784,27749102,52.2334171784
2015-01-05 00:00:00+00:00,51.5043955128,51.524098801,49.8164804851,50.0726232325,45395242,50.0726232325
2015-01-06 00:00:00+00:00,49.9872423167,50.3944436075,48.9888767006,49.3370338041,41874439,49.3370338041
2015-01-07 00:00:00+00:00,49.9347002147,50.1514363856,49.1137298705,49.4421180082,31191769,49.4421180082
2015-01-08 00:00:00+00:00,49.8427515362,50.6670057617,49.6391508908,50.5520699135,28175464,50.5520699135
2015-01-09 00:00:00+00:00,50.5849087273,50.6702896431,49.6949768742,50.1514363856,24819329,50.1514363856
2015-01-12 00:00:00+00:00,49.5143633985,49.5143633985,48.4438180697,48.7065285798,28937540,48.7065285798
2015-01-13 00:00:00+00:00,48.9035614624,49.2844917021,47.8658549474,48.3190305774,34049624,48.3190305774
2015-01-14 00:00:00+00:00,47.8592871846,48.542334511,47.0908589425,48.4700891207,52144947,48.4700891207
2015-01-15 00:00:00+00:00,49.0414844802,49.1662719725,47.8133128453,47.8527194219,41340585,47.8527194219
2015-01-16 00:00:00+00:00,48.1351332203,49.474956822,48.0957266437,49.4092791944,42741856,49.4092791944
2015-01-20 00:00:00+00:00,49.153136447,49.4946601102,48.5554700365,49.4683890592,28037964,49.4683890592
2015-01-21 00:00:00+00:00,49.8296160107,50.486392286,49.4683890592,50.4732567605,28326515,50.4732567605
2015-01-22 00:00:00+00:00,50.7950771354,50.8673225257,49.7836416714,50.7096962196,33007993,50.7096962196
2015-01-23 00:00:00+00:00,50.4798245232,51.0709231711,50.2696561151,50.3484692682,21147078,50.3484692682
2015-01-26 00:00:00+00:00,50.5192310998,51.2022127485,50.0726232325,51.0709231711,18361851,51.0709231711
2015-01-27 00:00:00+00:00,50.6702896431,51.2843754605,50.5455021508,51.0380843573,21602283,51.0380843573
2015-01-28 00:00:00+00:00,50.9001613395,50.9001613395,48.9298325134,49.0283489547,38829378,49.0283489547
2015-01-29 00:00:00+00:00,49.4224147199,49.4880923475,48.0810805328,49.1925430236,30120432,49.1925430236
2015-01-30 00:00:00+00:00,48.8247483094,50.1842751993,48.4963601717,49.6194476025,43847346,49.6194476025
2015-02-02 00:00:00+00:00,50.2302495386,51.1563040869,49.8854419941,51.1366007986,35462868,51.1366007986
2015-02-03 00:00:00+00:00,51.7276994464,52.804812538,51.7079961581,52.5355342651,47027876,52.5355342651
2015-02-04 00:00:00+00:00,51.8524869387,52.1480362626,51.2351172399,51.6685895816,41130920,51.6685895816
2015-02-05 00:00:00+00:00,52.2793915177,52.7062960967,51.9641389055,52.4107467728,31782427,52.4107467728
2015-02-06 00:00:00+00:00,52.8245158262,52.9165301824,52.1611717881,52.4238822983,26134519,52.4238822983
2015-02-09 00:00:00+00:00,52.6471862319,53.0806585736,52.3582046707,52.4764244003,20197794,52.4764244003
2015-02-10 00:00:00+00:00,52.5683730789,52.6143474181,51.49782775,52.4501533493,21971258,52.4501533493
2015-02-11 00:00:00+00:00,51.7802415484,52.3187980942,51.5175310383,52.0823586351,26194046,52.0823586351
2015-02-12 00:00:00+00:00,52.7916770125,53.0084131833,52.4107467728,52.7654059615,26422317,52.7654059615
2015-02-13 00:00:00+00:00,53.284259219,53.9410354943,53.1463362012,53.8819256295,31187851,53.8819256295
2015-02-17 00:00:00+00:00,53.6257828822,54.1380683769,53.31053027,54.0461196984,22125611,54.0461196984
2015-02-18 00:00:00+00:00,53.6060795939,53.8228157648,53.257988168,53.4024789485,19374935,53.4024789485
2015-02-19 00:00:00+00:00,52.2925270432,53.4550210506,52.0560875841,53.1529039639,23870331,53.1529039639
2015-02-20 00:00:00+00:00,53.0084131833,53.2776914562,52.456721112,52.8967612165,25641332,52.8967612165
2015-02-23 00:00:00+00:00,52.377907959,53.1069296246,52.2465527039,52.6800250457,19662622,52.6800250457
2015-02-24 00:00:00+00:00,53.0018454206,53.0478197599,52.4829921631,52.8245158262,15430683,52.8245158262
2015-02-25 00:00:00+00:00,52.8639224028,53.1988783032,52.6012118926,53.1134973874,16025667,53.1134973874
2015-02-26 00:00:00+00:00,52.7982447752,52.8245158262,51.8524869387,52.1283329744,19348397,52.1283329744
2015-02-27 00:00:00+00:00,52.3319336197,52.3713401962,51.845919176,51.898461278,13361122,51.898461278
2015-03-02 00:00:00+00:00,51.7933770739,51.8393514132,51.0380843573,51.5372343266,17973927,51.5372343266
